Repo_id;Full_name_modified;Full_name;owner_id;created_at;updated_at;size;stargazers;Subscribers;forks_count;open_issues;watchers;has_downloads;has_issues;has_pages;has_wiki;has_projects;git_url;clone_url;last_commit_sha;license;testsmells_file;CK_File_Class;CK_File_Method
3240021;albogdano_elasticsearch-river-amazonsqs;albogdano/elasticsearch-river-amazonsqs;346873;Sun Jan 22 12:40:12 BRST 2012;Tue Oct 13 03:47:48 BRT 2020;65;20;4;5;0;20;TRUE;TRUE;FALSE;FALSE;TRUE;git://github.com/albogdano/elasticsearch-river-amazonsqs.git;https://github.com/albogdano/elasticsearch-river-amazonsqs.git;e723198aef9df0a4727e0199868b4b6b84b8590b;Other;results/albogdano_elasticsearch-river-amazonsqs_testsmells.csv;results/albogdano_elasticsearch-river-amazonsqs_class.csv;results/albogdano_elasticsearch-river-amazonsqs_method.csv
46047137;albrechtf_mcf2pdf;albrechtf/mcf2pdf;11006895;Thu Nov 12 08:58:03 BRST 2015;Wed Mar 03 17:50:36 BRT 2021;574;36;15;31;10;36;TRUE;TRUE;FALSE;FALSE;FALSE;git://github.com/albrechtf/mcf2pdf.git;https://github.com/albrechtf/mcf2pdf.git;bfd2ee209af39d0f1ec016777a9710194e1cc517;Other;results/albrechtf_mcf2pdf_testsmells.csv;results/albrechtf_mcf2pdf_class.csv;results/albrechtf_mcf2pdf_method.csv
93788539;alcampos_graylog-plugin-function-csv;alcampos/graylog-plugin-function-csv;14185513;Thu Jun 08 17:20:00 BRT 2017;Fri Mar 26 09:57:05 BRT 2021;57;6;2;1;1;6;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/alcampos/graylog-plugin-function-csv.git;https://github.com/alcampos/graylog-plugin-function-csv.git;ea246d66dc7e3cc6b7b12b3d5abd1486b1abb0ea;GNU General Public License v3;results/alcampos_graylog-plugin-function-csv_testsmells.csv;results/alcampos_graylog-plugin-function-csv_class.csv;results/alcampos_graylog-plugin-function-csv_method.csv
64371551;NileshJarad_TDD_Demo;NileshJarad/TDD_Demo;3660265;Thu Jul 28 03:57:06 BRT 2016;Tue Oct 12 10:35:34 BRT 2021;113;77;3;31;1;77;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/NileshJarad/TDD_Demo.git;https://github.com/NileshJarad/TDD_Demo.git;9337b535ef68b90efc49d511603e8b61f5732bc5;Apache License 2;results/NileshJarad_TDD_Demo_testsmells.csv;results/NileshJarad_TDD_Demo_class.csv;results/NileshJarad_TDD_Demo_method.csv
34582928;Nilhcem_bblfr-android;Nilhcem/bblfr-android;1016119;Sat Apr 25 16:31:11 BRT 2015;Fri Sep 11 15:32:34 BRT 2020;1728;4;2;1;0;4;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/Nilhcem/bblfr-android.git;https://github.com/Nilhcem/bblfr-android.git;37f217e2866c1cdfff8cfd9e49337b371b468c0f;GNU General Public License v3;results/Nilhcem_bblfr-android_testsmells.csv;results/Nilhcem_bblfr-android_class.csv;results/Nilhcem_bblfr-android_method.csv
71876131;Nilhcem_devfestnantes-2016;Nilhcem/devfestnantes-2016;1016119;Tue Oct 25 06:32:06 BRST 2016;Wed Mar 20 06:51:23 BRT 2019;1741;6;1;2;0;6;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/Nilhcem/devfestnantes-2016.git;https://github.com/Nilhcem/devfestnantes-2016.git;c8588ca7a4dd686eadef663ec7ff3b01e49ee4bc;Apache License 2;results/Nilhcem_devfestnantes-2016_testsmells.csv;results/Nilhcem_devfestnantes-2016_class.csv;results/Nilhcem_devfestnantes-2016_method.csv
54417824;Nilhcem_devoxxfr-2016;Nilhcem/devoxxfr-2016;1016119;Mon Mar 21 16:46:54 BRT 2016;Wed Oct 23 05:56:28 BRT 2019;2328;5;1;0;0;5;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/Nilhcem/devoxxfr-2016.git;https://github.com/Nilhcem/devoxxfr-2016.git;7223b0dfd20b8f71793bc63c7277c76bc9347e22;Apache License 2;results/Nilhcem_devoxxfr-2016_testsmells.csv;results/Nilhcem_devoxxfr-2016_class.csv;results/Nilhcem_devoxxfr-2016_method.csv
62054952;Nilhcem_droidconat-2016;Nilhcem/droidconat-2016;1016119;Mon Jun 27 09:36:31 BRT 2016;Wed May 10 03:04:54 BRT 2017;1841;16;1;13;0;16;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/Nilhcem/droidconat-2016.git;https://github.com/Nilhcem/droidconat-2016.git;d4f934eaf49c1df5e86e90daaf87db7c4f168418;Apache License 2;results/Nilhcem_droidconat-2016_testsmells.csv;results/Nilhcem_droidconat-2016_class.csv;results/Nilhcem_droidconat-2016_method.csv
57202360;Nilhcem_droidconde-2016;Nilhcem/droidconde-2016;1016119;Wed Apr 27 06:44:20 BRT 2016;Fri Jun 25 01:36:26 BRT 2021;3090;9;3;1;0;9;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/Nilhcem/droidconde-2016.git;https://github.com/Nilhcem/droidconde-2016.git;8719590c537af27e99b2bad5ae4571933cf85d1b;Apache License 2;results/Nilhcem_droidconde-2016_testsmells.csv;results/Nilhcem_droidconde-2016_class.csv;results/Nilhcem_droidconde-2016_method.csv
76873461;nimble-platform_identity-service;nimble-platform/identity-service;19726164;Mon Dec 19 13:27:13 BRST 2016;Wed Jun 30 09:12:39 BRT 2021;1373;7;6;6;1;7;TRUE;FALSE;FALSE;TRUE;TRUE;git://github.com/nimble-platform/identity-service.git;https://github.com/nimble-platform/identity-service.git;0933c761e91b645d429c149b9eb80d6202230388;Apache License 2;results/nimble-platform_identity-service_testsmells.csv;results/nimble-platform_identity-service_class.csv;results/nimble-platform_identity-service_method.csv
