App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
TestSmellDetector,DashDownloaderTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\offline\DashDownloaderTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\offline\DashDownloader.java,,,16,2,0,0,0,0,10,11,0,0,0,0,0,0,2,14,0,0,0,0,11,0
TestSmellDetector,VersionTableTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\database\src\test\java\com\google\android\exoplayer2\database\VersionTableTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\database\src\main\java\com\google\android\exoplayer2\database\VersionTable.java,,,5,2,0,0,0,0,4,4,0,0,0,0,0,0,3,20,2,0,0,0,4,0
TestSmellDetector,AssetDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\AssetDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\AssetDataSource.java,,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TestSmellDetector,BaseDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\BaseDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\BaseDataSource.java,,,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TestSmellDetector,ByteArrayDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\ByteArrayDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\ByteArrayDataSource.java,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0
TestSmellDetector,ContentDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\androidTest\java\com\google\android\exoplayer2\upstream\ContentDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\ContentDataSource.java,,,8,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
TestSmellDetector,DataSchemeDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\DataSchemeDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\DataSchemeDataSource.java,,,12,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0
TestSmellDetector,DataSourceExceptionTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\DataSourceExceptionTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\DataSourceException.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
TestSmellDetector,DataSourceInputStreamTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\DataSourceInputStreamTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\DataSourceInputStream.java,,,4,3,3,0,0,0,3,0,0,0,0,0,0,0,3,15,3,0,0,0,3,0
TestSmellDetector,DataSpecTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\DataSpecTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\DataSpec.java,,,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0
